id,ingredients
192,Соль
192,Маринованные огурцы
192,Грузди
192,Белые грибы
192,Перец черный молотый
192,Сладкий красный лук
192,Консервированный зеленый горошек
192,Винный уксус
210,Баклажаны
210,Помидоры
210,Сыр
210,Соль
210,Растительное масло
210,Лук репчатый
210,Пшеничная мука
210,Чеснок
210,Майонез
210,Лук
210,Яйцо куриное
210,Зелень
216,Кабачки
216,Свиной фарш
216,Говяжий фарш
216,Красный лук
216,Помидоры
216,Морковь
216,Майонез
216,Сыр
216,Лук репчатый
216,Соль
216,Растительное масло
216,Лук
216,Перец черный молотый
216,Яйцо куриное
216,Молоко
216,Чеснок
216,Гречневая крупа
216,Картофель
216,Вяленые помидоры
216,Куриное филе
216,Соевый соус
219,Куриное филе
219,Лук репчатый
219,Морковь
219,Консервированный зеленый горошек
219,Цветная капуста
219,Консервированная кукуруза
219,Сметана
219,Соль
219,Свежий красный перец
219,Растительное масло
219,Сельдерей
219,Говядина
219,Букет гарни
219,Перец черный молотый
219,Чернослив
219,Свиная вырезка
219,Розмарин
219,Длиннозерный рис
219,Лук
219,Сладкий перец
219,Чеснок
219,Специи для плова
219,Вода
219,Приправы
219,Грибы шиитаке
219,Паприка
219,Соевый соус
219,Консервированные грибы
219,Паста кочудян
223,Баклажаны
223,Помидоры
223,Сыр
223,Пшеничная мука
223,Чеснок
223,Растительное масло
223,Соль
223,Майонез
223,Зелень
223,Лук
223,Яйцо куриное
224,Мясо
224,Вермишель
224,Картофель
224,Коренья
224,Лук репчатый
224,Соль
224,Растительное масло
224,Лавровый лист
224,Перловая крупа
224,Укроп
224,Петрушка
224,Горох
224,Белокочанная капуста
224,Морковь
224,Томатное пюре
224,Черный перец горошком
225,Кунжутное масло
225,Соевый соус
225,Филе форели
225,Лайм
225,Кунжутные семечки
225,Зеленый салат
225,Фенхель
225,Капуста брокколи
225,Соль
225,Перец чили
225,Сок лайма
225,Рисовая лапша
225,Тыква
225,Красная паста карри
225,Кокосовое молоко
225,Растительное масло
225,Кинза
225,Тростниковый сахар
225,Имбирь
225,Вода
225,Сахар
225,Оливковое масло
225,Куриная грудка
225,Тунец
225,Рисовый уксус
225,Черные кунжутные семечки
225,Филе семги
225,Мед
225,Лимон
225,Филе рыбы
225,Корень имбиря
229,Мясо
229,Горох
229,Коренья
229,Лук репчатый
229,Соль
229,Растительное масло
229,Картофель
229,Вермишель
229,Лавровый лист
229,Белокочанная капуста
229,Морковь
229,Капустная рассада
231,Фасоль
231,Картофель
231,Морковь
231,Лук репчатый
231,Соль
231,Растительное масло
231,Лавровый лист
231,Коренья
231,Мясо
231,Томатное пюре
231,Черный перец горошком
231,Молотый кориандр
231,Овощной бульон
231,Листья кинзы (кориандра)
231,Брюссельская капуста
231,Плавленый сырок
231,Рис
231,Пшеничная мука
231,Перец черный молотый
231,Зелень
233,Рис
233,Мясной фарш
233,Лук репчатый
233,Яйцо куриное
233,Соль
233,Растительное масло
233,Молоко
233,Пшеничная мука
233,Цветная капуста
233,Вода
233,Картофель
233,Сельдь
243,Шампиньоны
243,Лук репчатый
243,Яйцо куриное
243,Сливочное масло
243,Сыр
243,Петрушка
243,Соль
243,Белокочанная капуста
243,Свежие грибы
243,Сметана
243,Картофель
243,Черный перец горошком
243,Говяжий фарш
243,Зеленая стручковая фасоль
243,Перец черный молотый
243,Молоко
243,Пшеничная мука
243,Сахар
243,Куриная грудка
243,Сливки 30%-ные
243,Гречневая крупа
244,Кинза
244,Молотый кориандр
244,Красная фасоль
244,Лук репчатый
244,Чеснок
244,Винный уксус
244,Морская соль
244,Растительное масло
244,Морковь
244,Укроп
244,Перец черный молотый
244,Гвоздика
244,Грецкие орехи
244,Свежая кинза (кориандр)
244,Соль
244,Хмели-сунели
244,Гранатовый сок
244,Гранаты
244,Баклажаны
244,Толченые грецкие орехи
244,Имеретинский шафран
244,Шпинат
244,Петрушка
244,Зеленый перец чили
244,Зерна граната
244,Уцхо-сунели
244,Молотый перец чили
244,Сельдерей
244,Сванская смесь
245,Мясо
245,Мясные продукты
245,Соленые огурцы
245,Лук репчатый
245,Томатное пюре
245,Каперсы
245,Растительное масло
245,Маслины
245,Сметана
245,Лимон
245,Соль
245,Лавровый лист
245,Петрушка
245,Укроп
245,Говяжий бульон
245,Рыба
245,Помидоры
245,Черный перец горошком
245,Белое сухое вино
